Message,Message ID,Name,Startbit,Length [Bit],Comment
CEM,0x81FF456,Timeout_BSD,24,2,Timeout of BMS's charging statistics message
CEM,0x81FF456,Timeout_BSM,18,2,Timeout of battery charging requirement message
CEM,0x81FF456,Timeout_BST,20,2,Timeout of BMS's charging suspension message
CML,0x1808F456,MaxOutputCurrent,32,16,Maximum output current (A)
CML,0x1808F456,MaxOutputVoltage,0,16,Maximum output voltage (V)
CML,0x1808F456,MinOutputCurrent,48,16,Minimum output current (A)
CML,0x1808F456,MinOutputVoltage,16,16,Minimum output voltage (V)
CRM,0x1801F456,ChargerLocation,40,24,Charger/charging station location code
CRM,0x1801F456,ChargerNumber,8,32,Charger Number
CRM,0x1801F456,RecognitionResult,0,8,Recognition  result
CRO,0x100AF456,ChargerReadyForCharging,0,8,Whether charger is ready for charging
CSD,0x181DF456,ChargerNo,32,32,Charger No.
CSD,0x181DF456,CumulativeChargingTime,0,16,Cumulative charging time (min)
CSD,0x181DF456,OutputEnergy,16,16,Output energy
CST,0x101AF456,AbnormalVoltageError,26,2,Voltage is abnormal
CST,0x101AF456,BmsActivelySuspends,6,2,BMS actively suspends charging
CST,0x101AF456,CannotSupplyReqElQuantity,14,2,The required electric quantity cannot be transmitted
CST,0x101AF456,ChargerIntPartOverTemp,12,2,Charger is over-temperature at the internal part
CST,0x101AF456,ChargerOverTemp,8,2,Charging suspended: charger over-temperature
CST,0x101AF456,ChargingConnectorFault,10,2,Charging suspended: charging connector fault
CST,0x101AF456,ConditionReached,0,2,Charging suspends due to reaching the condition set by charger
CST,0x101AF456,CurrentMismatchError,24,2,Current mismatching
CST,0x101AF456,FaultSuspension,4,2,Charging fault suspension
CST,0x101AF456,OtherFault,18,2,Other fault
CST,0x101AF456,SuddenStop,16,2,Sudden stop of charger
CST,0x101AF456,SuspendsArtificially,2,2,Charging suspends artificially
CHM,0x1826F456,MajorChargerVersion,8,16,
BCS,0x1C1156F4,CurrentChargeState,48,8,Current state-of-charge SOC (%)
BCS,0x1C1156F4,EstimatedRemainingChargingTime,56,16,Estimated remaining charging time (min)
BCS,0x1C1156F4,GroupNrOfCellWithHighestVoltage,44,4,Group number in which the highest voltage of single power storage battery is located
BCS,0x1C1156F4,HighestVoltageOfBatteryCell,32,12,Voltage of maximum single power storage battery
BCS,0x1C1156F4,MeasuredChargingCurrent,16,16,Measured value of charging current (A)
BCS,0x1C1156F4,MeasuredChargingVoltage,0,16,Measured value of charging voltage (V)
